id,ET,point
2006-07-28,24.14919052521158,0
2006-08-05,23.644721642247518,0
2006-08-13,23.065369753211343,0
2006-08-21,21.45609070861965,0
2006-08-29,20.779212712844718,0
2006-09-06,19.40018695356209,0
2006-09-14,15.58966193618884,0
2006-09-22,16.258012265100554,0
2006-09-30,11.40483737201395,0
2006-10-08,11.67439731906095,0
2006-10-16,12.917400511514039,0
2006-10-24,12.197862760585682,0
2006-11-01,8.471645483515298,0
2006-11-09,7.902688478083028,0
2006-11-17,8.492431726779545,0
2006-11-25,5.400707230423466,0
2006-12-03,6.943791205273136,0
2006-12-11,3.0189359724083022,0
2006-12-19,2.994194731810744,0
2006-12-27,3.0087918602457027,0
2007-01-01,4.5959774497687205,0
2007-01-09,3.8934752755236612,0
2007-01-17,5.3901043409061655,0
